Image,PSNR (dB),SSIM,Accuracy (%),RMSE
19857.jpg,27.35,0.6777,85.69,10.94
19860.jpg,32.25,0.873,99.05,6.23
19866.jpg,25.94,0.6744,82.1,12.87
19869.jpg,28.63,0.8142,92.4,9.44
19875.jpg,28.42,0.8548,92.62,9.67
19879.jpg,25.97,0.7038,82.5,12.82
1988.jpg,24.5,0.6581,73.48,15.19
19880.jpg,30.07,0.8268,94.56,8.0
19895.jpg,25.0,0.664,79.97,14.34
19904.jpg,28.62,0.829,92.52,9.46
19905.jpg,28.11,0.8048,91.63,10.03
19907.jpg,30.33,0.823,97.24,7.76
19909.jpg,27.22,0.7946,87.85,11.1
19911.jpg,27.45,0.7548,86.29,10.82
19914.jpg,28.67,0.8331,92.42,9.4
19926.jpg,27.97,0.7508,91.45,10.18
1993.jpg,28.16,0.8089,90.17,9.97
19933.jpg,25.67,0.7787,86.02,13.27
19939.jpg,27.37,0.7094,86.23,10.92
19945.jpg,26.39,0.7266,84.93,12.22
19948.jpg,26.77,0.7535,86.6,11.7
19949.jpg,26.57,0.7974,86.4,11.97
19956.jpg,28.01,0.7985,89.54,10.14
1996.jpg,26.11,0.7002,81.2,12.61
19965.jpg,28.45,0.7649,92.58,9.64
19966.jpg,29.04,0.8147,91.55,9.01
19982.jpg,26.68,0.8015,89.26,11.82
19991.jpg,28.33,0.8272,94.05,9.77
19996.jpg,25.4,0.6712,80.02,13.7
2.jpg,22.53,0.615,71.37,19.05
200.jpg,28.27,0.7793,93.01,9.84
20001.jpg,31.14,0.8409,97.1,7.07
20002.jpg,23.31,0.6706,79.67,17.41
20004.jpg,28.4,0.7846,91.01,9.7
20007.jpg,28.74,0.8084,91.29,9.32
20014.jpg,25.87,0.7486,83.33,12.97
20021.jpg,27.35,0.7766,90.55,10.94
2003.jpg,26.53,0.8279,88.12,12.03
20030.jpg,26.9,0.7633,86.37,11.52
20031.jpg,28.32,0.8486,93.84,9.78
20033.jpg,26.3,0.6985,83.52,12.34
20037.jpg,30.16,0.778,95.73,7.91
20047.jpg,28.75,0.8223,92.22,9.31
2006.jpg,25.65,0.7537,84.05,13.31
20063.jpg,27.66,0.8373,94.3,10.56
20072.jpg,25.79,0.7205,82.36,13.09
2008.jpg,24.09,0.754,77.98,15.93
20080.jpg,27.5,0.7834,87.73,10.76
20082.jpg,29.7,0.8198,95.11,8.35
20086.jpg,30.13,0.8391,96.16,7.94
20087.jpg,27.75,0.7566,88.52,10.45
20094.jpg,26.47,0.6692,81.62,12.11
20096.jpg,29.2,0.7477,92.39,8.84
20100.jpg,26.07,0.7667,86.77,12.67
20103.jpg,26.77,0.7871,89.22,11.7
20110.jpg,26.29,0.7108,85.81,12.36
20113.jpg,27.83,0.7893,90.43,10.35
20119.jpg,30.87,0.837,97.17,7.29
20128.jpg,28.29,0.7723,89.94,9.82
20132.jpg,26.43,0.7763,87.89,12.16
20137.jpg,27.49,0.7898,88.21,10.77
20138.jpg,27.31,0.7311,87.05,10.99
20139.jpg,28.64,0.8433,92.23,9.43
2015.jpg,28.14,0.7653,89.91,10.0
20151.jpg,27.59,0.7922,87.6,10.64
20179.jpg,26.15,0.7795,83.63,12.56
20182.jpg,25.49,0.706,83.74,13.55
20184.jpg,28.51,0.7438,89.37,9.57
20191.jpg,25.51,0.7364,83.83,13.52
20195.jpg,25.97,0.7448,84.46,12.83
20198.jpg,26.78,0.766,86.69,11.69
20208.jpg,23.91,0.6454,71.38,16.26
20209.jpg,29.98,0.8372,96.47,8.09
20210.jpg,29.1,0.8185,93.98,8.95
20219.jpg,25.45,0.7102,81.04,13.61
20222.jpg,26.71,0.8139,89.49,11.78
20226.jpg,27.22,0.7811,87.34,11.1
