Image,PSNR (dB),SSIM,Accuracy (%),RMSE
27360.jpg,28.36,0.7509,89.54,9.74
2737.jpg,26.35,0.6673,83.4,12.27
27370.jpg,29.53,0.8292,94.49,8.51
27371.jpg,26.74,0.7904,86.83,11.74
27374.jpg,26.3,0.7377,86.22,12.35
27388.jpg,25.46,0.638,77.17,13.6
27389.jpg,24.83,0.6972,80.04,14.62
27391.jpg,27.83,0.7673,89.18,10.35
27395.jpg,27.5,0.7363,86.75,10.75
27404.jpg,26.81,0.7659,82.33,11.64
27410.jpg,30.41,0.857,96.99,7.69
27417.jpg,29.78,0.7498,94.37,8.27
2742.jpg,26.7,0.7159,85.51,11.79
27426.jpg,25.67,0.678,80.34,13.27
2743.jpg,27.31,0.7642,87.22,10.99
27432.jpg,28.23,0.8238,91.58,9.89
27442.jpg,29.01,0.834,95.31,9.04
27449.jpg,25.46,0.6659,81.38,13.6
27451.jpg,30.43,0.8531,95.54,7.67
27466.jpg,29.38,0.8085,94.27,8.66
27470.jpg,28.43,0.79,91.33,9.66
27472.jpg,28.5,0.7702,92.96,9.58
27477.jpg,26.46,0.6648,84.09,12.12
27483.jpg,27.06,0.6681,85.32,11.31
27487.jpg,24.43,0.7474,86.58,15.31
27493.jpg,26.12,0.6989,85.96,12.61
27496.jpg,29.01,0.8557,92.66,9.03
27498.jpg,26.55,0.7583,86.81,12.0
27499.jpg,28.02,0.7891,88.92,10.13
27504.jpg,24.16,0.6336,72.43,15.8
27509.jpg,28.51,0.8228,93.13,9.57
27522.jpg,23.47,0.7021,79.25,17.11
27525.jpg,24.91,0.7244,79.39,14.49
27527.jpg,21.75,0.6549,75.28,20.84
27529.jpg,28.79,0.8468,93.24,9.27
27534.jpg,26.54,0.7265,84.08,12.01
27544.jpg,25.38,0.7022,79.27,13.73
27549.jpg,25.72,0.8016,86.27,13.2
2755.jpg,28.66,0.7692,91.54,9.41
27554.jpg,28.26,0.7175,91.67,9.85
27559.jpg,23.99,0.7765,81.25,16.1
27574.jpg,21.75,0.7493,78.5,20.84
27576.jpg,26.94,0.7429,86.59,11.47
2758.jpg,23.84,0.6957,76.81,16.38
27583.jpg,28.92,0.7997,91.88,9.13
27593.jpg,29.66,0.8085,93.95,8.39
27608.jpg,26.72,0.7465,84.94,11.76
27610.jpg,26.56,0.7771,86.43,11.98
27616.jpg,24.08,0.6434,79.37,15.94
27622.jpg,25.38,0.6332,79.35,13.73
27625.jpg,25.4,0.7231,82.43,13.69
27627.jpg,29.05,0.8003,93.02,9.0
2763.jpg,27.39,0.6578,90.73,10.89
27632.jpg,24.68,0.6171,78.84,14.88
27636.jpg,27.17,0.7873,88.27,11.17
27638.jpg,22.6,0.559,73.4,18.9
2765.jpg,29.13,0.8135,92.36,8.92
27653.jpg,26.36,0.7884,86.17,12.27
27663.jpg,27.66,0.781,89.51,10.55
27666.jpg,23.85,0.6866,78.23,16.37
27668.jpg,29.16,0.8234,92.28,8.89
27669.jpg,25.78,0.727,83.48,13.11
27683.jpg,28.05,0.8264,93.02,10.09
27684.jpg,26.19,0.7884,85.96,12.5
27702.jpg,26.91,0.7713,87.29,11.51
27705.jpg,26.83,0.7999,87.67,11.62
27710.jpg,28.97,0.7864,91.81,9.08
27715.jpg,26.13,0.7553,87.89,12.59
27718.jpg,24.91,0.7184,80.92,14.49
2773.jpg,26.75,0.739,83.31,11.73
27731.jpg,28.65,0.8179,91.14,9.42
27756.jpg,29.89,0.8365,94.84,8.17
27780.jpg,25.6,0.6843,83.29,13.38
27783.jpg,28.6,0.7684,90.9,9.47
27808.jpg,23.84,0.6912,82.86,16.38
27813.jpg,24.88,0.6266,81.28,14.55
27819.jpg,26.52,0.7029,82.78,12.04
27821.jpg,26.27,0.7705,89.51,12.39
27828.jpg,27.88,0.8027,89.48,10.3
27830.jpg,26.09,0.8311,90.21,12.65
27834.jpg,27.18,0.8064,85.2,11.16
27840.jpg,25.36,0.6467,81.75,13.76
27855.jpg,27.09,0.6632,84.47,11.28
27867.jpg,24.66,0.6372,79.22,14.91
27873.jpg,27.22,0.808,91.0,11.1
27893.jpg,28.28,0.7908,92.26,9.82
2790.jpg,27.89,0.7739,89.89,10.28
27900.jpg,25.32,0.7115,80.84,13.82
27901.jpg,29.04,0.8149,91.27,9.01
27906.jpg,23.88,0.6653,76.31,16.32
2791.jpg,25.6,0.6549,78.59,13.38
27916.jpg,25.15,0.7247,81.36,14.09
27917.jpg,25.15,0.7699,83.57,14.1
27927.jpg,28.63,0.7596,91.53,9.44
2794.jpg,26.23,0.7001,87.34,12.44
27945.jpg,27.88,0.7301,89.15,10.29
27950.jpg,26.76,0.7384,83.51,11.71
27952.jpg,25.18,0.687,80.35,14.04
27979.jpg,28.98,0.8411,92.9,9.07
27989.jpg,23.72,0.6498,73.29,16.61
27990.jpg,27.55,0.8231,91.74,10.69
27997.jpg,26.26,0.8342,90.44,12.4
2801.jpg,29.06,0.7456,92.09,8.99
28012.jpg,25.76,0.7989,88.7,13.14
28013.jpg,28.64,0.8434,93.52,9.43
28017.jpg,29.31,0.8514,94.33,8.73
28023.jpg,25.51,0.7195,80.71,13.52
28026.jpg,25.53,0.6703,82.86,13.48
28034.jpg,26.43,0.7506,84.59,12.17
28041.jpg,27.88,0.7984,91.08,10.29
2806.jpg,27.72,0.7704,88.64,10.49
28068.jpg,29.28,0.8483,92.7,8.76
28073.jpg,28.22,0.8127,89.99,9.89
28078.jpg,26.85,0.7826,89.36,11.59
28081.jpg,26.64,0.7483,85.36,11.87
28097.jpg,25.15,0.714,83.82,14.1
2811.jpg,24.67,0.6507,78.22,14.89
28131.jpg,28.34,0.7914,93.72,9.77
28145.jpg,29.01,0.807,92.34,9.03
28146.jpg,26.45,0.7893,88.98,12.13
28148.jpg,27.95,0.8555,92.58,10.22
2815.jpg,26.95,0.7554,90.43,11.45
28151.jpg,29.29,0.7892,92.31,8.75
28155.jpg,27.97,0.7735,90.71,10.19
28157.jpg,25.2,0.6725,78.6,14.01
28162.jpg,29.01,0.7994,94.17,9.04
28163.jpg,27.46,0.7976,89.54,10.81
28166.jpg,26.35,0.7199,82.49,12.27
28177.jpg,27.1,0.8475,93.02,11.27
28179.jpg,23.83,0.6439,74.86,16.4
28186.jpg,25.72,0.7334,83.77,13.2
2820.jpg,28.67,0.7793,89.36,9.4
28224.jpg,27.5,0.7784,88.64,10.76
28234.jpg,25.02,0.6848,79.16,14.3
2824.jpg,26.32,0.8124,89.36,12.31
28241.jpg,27.79,0.7939,91.57,10.4
28257.jpg,29.93,0.8515,94.8,8.13
28259.jpg,25.6,0.6873,81.32,13.39
2826.jpg,25.25,0.5831,74.4,13.93
28268.jpg,25.23,0.6085,80.9,13.96
28269.jpg,25.93,0.7194,85.44,12.89
2827.jpg,26.93,0.7744,86.16,11.48
28280.jpg,25.8,0.8206,91.04,13.08
28290.jpg,28.33,0.7889,92.36,9.77
28311.jpg,26.58,0.7823,87.9,11.96
28318.jpg,24.42,0.6694,82.43,15.32
28324.jpg,27.7,0.8001,91.59,10.5
28325.jpg,25.87,0.6968,80.85,12.97
28346.jpg,26.93,0.7413,85.73,11.49
28351.jpg,24.7,0.7645,85.29,14.85
28358.jpg,28.24,0.8399,92.18,9.87
28365.jpg,27.2,0.7627,85.47,11.14
28368.jpg,24.79,0.6513,80.74,14.68
28385.jpg,27.11,0.6891,87.88,11.25
28386.jpg,29.23,0.8236,94.11,8.81
28387.jpg,24.3,0.6708,77.45,15.55
28392.jpg,25.44,0.6683,80.37,13.64
28396.jpg,27.23,0.7323,87.33,11.09
28406.jpg,28.28,0.8019,90.4,9.83
28412.jpg,26.55,0.7722,82.95,11.99
28415.jpg,27.4,0.8031,91.1,10.87
28419.jpg,31.41,0.8295,97.81,6.86
28424.jpg,25.82,0.7471,81.97,13.05
28425.jpg,24.52,0.5892,75.1,15.15
28428.jpg,26.92,0.7103,84.37,11.49
28434.jpg,27.29,0.8199,89.28,11.01
28439.jpg,25.61,0.7343,80.25,13.37
28445.jpg,29.12,0.794,92.2,8.92
28448.jpg,26.58,0.7327,86.71,11.95
28451.jpg,28.31,0.8372,91.48,9.79
28454.jpg,31.11,0.8609,97.16,7.1
28458.jpg,29.39,0.8321,93.63,8.65
28466.jpg,24.47,0.626,83.41,15.24
28475.jpg,25.49,0.7626,81.65,13.56
28476.jpg,25.36,0.7323,80.05,13.76
28477.jpg,27.9,0.7929,90.69,10.27
2850.jpg,26.98,0.7013,85.75,11.42
28500.jpg,26.68,0.7369,83.75,11.82
28505.jpg,24.61,0.6841,78.74,15.0
2851.jpg,24.71,0.6683,75.69,14.83
28515.jpg,27.04,0.7804,92.08,11.34
28525.jpg,26.41,0.7582,87.66,12.19
2853.jpg,28.44,0.7711,92.25,9.65
28530.jpg,26.4,0.7843,85.31,12.21
28532.jpg,22.5,0.5627,69.57,19.11
28550.jpg,30.12,0.8965,96.33,7.95
28556.jpg,27.36,0.7622,90.87,10.93
2856.jpg,24.32,0.7385,78.01,15.5
28562.jpg,27.3,0.7182,86.09,11.0
2858.jpg,26.02,0.7248,81.63,12.76
28583.jpg,27.36,0.7755,89.86,10.92
28592.jpg,25.2,0.7472,85.89,14.01
28597.jpg,29.45,0.8309,93.43,8.59
28607.jpg,26.4,0.7945,87.31,12.2
28611.jpg,26.19,0.7164,81.15,12.5
2862.jpg,26.79,0.755,88.14,11.67
28628.jpg,25.32,0.767,83.42,13.82
28633.jpg,28.72,0.7966,92.49,9.34
28651.jpg,26.44,0.7309,85.15,12.15
28670.jpg,26.61,0.6405,80.89,11.91
28672.jpg,24.58,0.6967,80.45,15.06
28676.jpg,24.62,0.6128,78.53,14.98
28682.jpg,30.19,0.8891,97.86,7.89
28692.jpg,24.92,0.7705,86.02,14.48
28696.jpg,24.76,0.6693,82.18,14.75
28704.jpg,28.19,0.8255,90.2,9.93
28706.jpg,26.32,0.6985,81.3,12.31
28720.jpg,28.73,0.7821,90.68,9.33
28723.jpg,29.62,0.7816,94.66,8.43
28727.jpg,28.95,0.82,91.94,9.1
28728.jpg,28.14,0.797,90.21,9.99
28729.jpg,27.65,0.7659,87.84,10.56
28737.jpg,28.83,0.81,90.66,9.22
28752.jpg,25.32,0.8031,84.55,13.82
28754.jpg,26.47,0.7323,82.26,12.11
28758.jpg,27.35,0.8058,89.97,10.94
2876.jpg,24.12,0.7806,84.44,15.87
28766.jpg,27.07,0.7812,87.49,11.31
28772.jpg,26.63,0.7664,84.04,11.88
28779.jpg,29.27,0.8074,93.31,8.78
28780.jpg,26.21,0.7812,87.39,12.48
28783.jpg,28.96,0.7598,91.65,9.09
28784.jpg,31.01,0.85,97.18,7.18
28785.jpg,30.36,0.8354,94.48,7.73
28788.jpg,25.22,0.7039,85.35,13.97
28792.jpg,25.01,0.6952,80.4,14.33
28795.jpg,25.14,0.6875,81.26,14.12
28799.jpg,27.11,0.7784,92.87,11.25
28808.jpg,24.32,0.6861,78.92,15.51
28813.jpg,23.76,0.7125,82.48,16.53
28818.jpg,27.95,0.7894,88.68,10.21
28823.jpg,27.01,0.812,88.6,11.38
28829.jpg,25.31,0.772,84.66,13.83
28830.jpg,22.61,0.5497,68.18,18.87
28834.jpg,27.0,0.7611,88.74,11.39
28836.jpg,25.38,0.728,82.03,13.73
28838.jpg,23.54,0.7168,81.16,16.96
28842.jpg,27.24,0.7388,87.02,11.08
28852.jpg,27.54,0.7441,91.02,10.7
28856.jpg,27.6,0.7345,88.44,10.62
28867.jpg,23.1,0.7067,79.17,17.84
28870.jpg,30.38,0.7927,94.28,7.72
28882.jpg,27.69,0.7424,88.68,10.52
28887.jpg,27.52,0.7922,86.91,10.72
28888.jpg,28.75,0.7818,92.43,9.31
28890.jpg,29.08,0.7007,92.31,8.96
28891.jpg,26.9,0.7308,87.9,11.53
28893.jpg,25.05,0.7428,84.1,14.26
28894.jpg,25.67,0.7126,81.0,13.28
28895.jpg,29.14,0.796,93.4,8.9
28897.jpg,26.92,0.7496,88.22,11.5
2890.jpg,25.89,0.7506,83.89,12.95
28909.jpg,25.98,0.6792,82.17,12.82
2891.jpg,24.17,0.6272,71.36,15.78
2892.jpg,27.61,0.7828,89.15,10.62
28921.jpg,27.69,0.8586,90.86,10.53
28923.jpg,29.81,0.8327,93.24,8.24
28926.jpg,25.59,0.7449,88.03,13.39
28928.jpg,26.65,0.8027,87.67,11.86
28929.jpg,24.74,0.7245,83.56,14.78
28932.jpg,25.92,0.725,84.97,12.9
28934.jpg,23.58,0.7167,76.49,16.89
28939.jpg,30.31,0.8296,96.64,7.78
28946.jpg,23.94,0.6864,72.63,16.2
28956.jpg,28.74,0.7982,90.93,9.32
2896.jpg,27.35,0.766,89.34,10.94
28962.jpg,28.23,0.7695,89.05,9.88
28970.jpg,29.42,0.8839,96.09,8.62
28981.jpg,28.4,0.7196,92.44,9.7
28995.jpg,23.92,0.7416,84.18,16.24
29009.jpg,25.62,0.7803,85.23,13.35
29012.jpg,28.17,0.8457,92.05,9.95
29023.jpg,27.09,0.7352,88.37,11.27
29025.jpg,26.94,0.7259,88.72,11.47
29035.jpg,26.85,0.7866,88.54,11.59
29036.jpg,28.19,0.8238,92.52,9.93
29039.jpg,26.06,0.7316,82.61,12.7
29041.jpg,29.76,0.88,94.06,8.29
29044.jpg,29.51,0.8718,96.38,8.53
29049.jpg,28.89,0.8231,92.91,9.16
29052.jpg,24.83,0.6454,79.04,14.62
29053.jpg,25.22,0.7806,82.98,13.99
29054.jpg,24.29,0.7513,81.18,15.56
29062.jpg,28.53,0.8679,93.61,9.56
29064.jpg,28.91,0.8439,94.38,9.14
29073.jpg,25.87,0.7654,83.79,12.98
29074.jpg,26.19,0.78,87.23,12.5
29076.jpg,28.42,0.6758,89.25,9.68
29090.jpg,27.86,0.7638,88.28,10.32
29093.jpg,28.31,0.8328,95.0,9.79
29095.jpg,28.06,0.8227,90.35,10.08
29096.jpg,24.46,0.7049,78.91,15.27
29097.jpg,24.47,0.6428,80.63,15.24
2910.jpg,29.11,0.8472,96.57,8.94
29102.jpg,30.87,0.8564,97.54,7.29
29108.jpg,25.92,0.7616,82.41,12.89
29122.jpg,28.37,0.7743,89.51,9.73
29127.jpg,30.29,0.879,96.26,7.8
29130.jpg,24.25,0.6944,80.61,15.64
29132.jpg,25.4,0.7142,82.22,13.69
29141.jpg,28.27,0.7947,89.41,9.85
29148.jpg,25.18,0.6694,77.96,14.05
2915.jpg,25.55,0.7092,83.72,13.46
29153.jpg,27.76,0.7941,88.4,10.43
29162.jpg,24.13,0.7008,78.51,15.84
29163.jpg,26.51,0.8032,85.57,12.05
29164.jpg,27.94,0.7881,90.96,10.22
29166.jpg,26.53,0.7252,87.75,12.03
29169.jpg,29.81,0.8358,95.79,8.24
29173.jpg,31.36,0.8836,97.81,6.9
29179.jpg,20.87,0.5828,67.78,23.08
29182.jpg,25.45,0.758,85.72,13.62
292.jpg,27.59,0.7114,89.55,10.64
29202.jpg,27.46,0.8113,89.1,10.81
29214.jpg,27.62,0.666,86.3,10.61
29215.jpg,27.52,0.7144,86.55,10.73
29224.jpg,27.83,0.7185,88.88,10.35
29230.jpg,25.07,0.6313,75.31,14.22
2924.jpg,26.59,0.764,84.75,11.94
29243.jpg,27.43,0.7686,89.82,10.84
29245.jpg,25.09,0.6757,80.37,14.2
29250.jpg,28.41,0.8001,91.01,9.68
29260.jpg,26.52,0.7846,87.67,12.04
29264.jpg,19.2,0.5112,63.1,27.95
29284.jpg,26.7,0.7557,85.54,11.79
29289.jpg,23.37,0.643,74.34,17.3
29297.jpg,24.87,0.6474,73.97,14.56
29298.jpg,25.48,0.7059,82.18,13.57
293.jpg,28.9,0.8112,91.47,9.15
29300.jpg,28.67,0.8036,92.02,9.4
29303.jpg,30.31,0.8226,96.03,7.78
29304.jpg,27.39,0.7319,86.43,10.89
29310.jpg,22.89,0.7289,83.82,18.29
29311.jpg,30.09,0.7691,94.67,7.98
29315.jpg,25.47,0.6705,78.54,13.59
29328.jpg,29.78,0.8069,94.94,8.27
2933.jpg,28.77,0.7938,91.43,9.29
29335.jpg,27.17,0.8244,87.53,11.17
29362.jpg,27.57,0.7678,88.18,10.67
29364.jpg,30.08,0.8256,95.11,7.99
29367.jpg,25.39,0.8394,88.27,13.72
2937.jpg,27.51,0.7498,87.33,10.75
29372.jpg,26.49,0.6745,82.39,12.08
29378.jpg,27.56,0.8193,92.11,10.68
29382.jpg,25.86,0.8279,90.67,12.99
29383.jpg,27.98,0.7495,90.99,10.18
29387.jpg,27.46,0.7727,88.55,10.8
29390.jpg,28.47,0.7856,90.13,9.61
2940.jpg,29.06,0.7894,91.84,8.99
2941.jpg,26.95,0.7678,86.44,11.46
29417.jpg,25.79,0.7499,83.29,13.1
29431.jpg,24.24,0.6663,80.45,15.65
29433.jpg,27.98,0.7896,90.61,10.18
29435.jpg,26.71,0.8027,89.59,11.77
29439.jpg,28.08,0.7987,91.85,10.06
29442.jpg,24.16,0.6838,81.8,15.8
29463.jpg,30.92,0.8835,97.15,7.25
29466.jpg,25.11,0.6298,79.39,14.15
2947.jpg,28.03,0.8439,90.95,10.12
2948.jpg,28.3,0.7926,88.81,9.81
29485.jpg,24.88,0.746,82.81,14.55
29487.jpg,27.05,0.7288,88.61,11.33
29490.jpg,27.52,0.8269,89.46,10.73
29498.jpg,26.64,0.7163,84.22,11.87
2950.jpg,27.48,0.724,86.57,10.78
29503.jpg,22.08,0.6431,70.87,20.08
29504.jpg,25.9,0.7289,82.08,12.92
29505.jpg,28.27,0.8177,92.0,9.84
29510.jpg,24.9,0.68,76.04,14.51
29522.jpg,25.58,0.6695,80.39,13.41
29529.jpg,25.32,0.7216,81.45,13.81
2954.jpg,27.85,0.7785,90.05,10.33
29545.jpg,28.99,0.8419,94.83,9.06
29549.jpg,24.76,0.6843,82.27,14.75
29551.jpg,23.31,0.6327,76.83,17.42
29556.jpg,26.24,0.7798,81.83,12.43
29557.jpg,28.06,0.8216,92.23,10.08
2956.jpg,26.95,0.7465,88.62,11.46
29560.jpg,25.47,0.8146,86.85,13.58
29571.jpg,28.74,0.7879,91.85,9.32
29572.jpg,24.26,0.6155,79.11,15.62
29578.jpg,32.23,0.8476,99.28,6.24
29579.jpg,25.96,0.7492,82.13,12.84
29580.jpg,26.5,0.7366,84.63,12.07
29583.jpg,27.84,0.7417,87.53,10.34
29593.jpg,26.85,0.7357,85.31,11.59
29604.jpg,26.98,0.7629,88.77,11.42
29608.jpg,27.18,0.745,86.42,11.16
2961.jpg,26.73,0.721,84.67,11.76
29618.jpg,26.92,0.7783,88.39,11.49
29622.jpg,24.18,0.6942,76.98,15.76
29625.jpg,27.54,0.792,88.47,10.71
29627.jpg,28.86,0.7947,91.04,9.19
29628.jpg,27.8,0.8182,89.63,10.39
29638.jpg,28.67,0.8286,92.95,9.4
29640.jpg,23.54,0.7584,81.11,16.96
29646.jpg,28.7,0.7194,94.2,9.37
29654.jpg,27.78,0.8234,90.67,10.41
29661.jpg,23.22,0.7162,78.82,17.6
29668.jpg,26.03,0.7004,81.6,12.73
29670.jpg,27.42,0.7174,88.7,10.85
29674.jpg,25.57,0.7679,81.11,13.43
29684.jpg,28.0,0.7841,88.33,10.15
29689.jpg,28.11,0.8146,92.48,10.02
2969.jpg,25.03,0.6361,81.73,14.28
29693.jpg,26.44,0.7234,84.1,12.15
29706.jpg,26.5,0.7854,86.52,12.07
29716.jpg,29.51,0.8487,93.63,8.53
29723.jpg,27.68,0.7932,88.85,10.54
29729.jpg,27.62,0.7376,87.23,10.61
29731.jpg,27.47,0.8127,89.45,10.79
29733.jpg,26.7,0.8422,90.7,11.79
29742.jpg,27.62,0.7513,88.69,10.6
29746.jpg,27.71,0.7404,88.1,10.49
29747.jpg,24.25,0.8047,87.21,15.63
29748.jpg,25.33,0.7187,85.15,13.81
2975.jpg,24.12,0.7039,80.46,15.87
29760.jpg,27.43,0.7564,87.08,10.84
29767.jpg,27.29,0.8029,89.31,11.02
29774.jpg,29.92,0.8263,93.71,8.14
29778.jpg,26.95,0.7152,90.93,11.46
29779.jpg,26.48,0.7107,83.55,12.09
29782.jpg,28.64,0.8236,93.56,9.43
29784.jpg,23.93,0.6865,78.83,16.22
29790.jpg,28.18,0.8225,91.4,9.94
29804.jpg,25.73,0.7823,83.91,13.19
29807.jpg,25.46,0.7558,87.26,13.6
29816.jpg,27.08,0.7757,85.41,11.29
2982.jpg,25.47,0.7085,81.32,13.59
29821.jpg,23.27,0.6248,74.51,17.51
29828.jpg,25.93,0.7017,82.47,12.88
29829.jpg,26.86,0.7504,85.39,11.58
29830.jpg,26.76,0.7674,86.09,11.71
29840.jpg,30.18,0.8279,95.55,7.9
29851.jpg,26.78,0.7723,87.73,11.69
29853.jpg,23.7,0.5754,72.43,16.65
2986.jpg,26.04,0.7217,82.33,12.73
29861.jpg,30.91,0.8547,98.15,7.26
29875.jpg,28.32,0.8097,93.05,9.78
29908.jpg,21.7,0.552,67.4,20.96
29910.jpg,24.33,0.6403,75.54,15.5
29929.jpg,24.86,0.7636,81.97,14.57
29935.jpg,26.24,0.7529,82.55,12.43
29943.jpg,30.19,0.8391,95.09,7.89
29944.jpg,25.62,0.7254,81.76,13.36
29945.jpg,26.73,0.7947,87.64,11.75
29946.jpg,25.46,0.6856,79.5,13.6
29951.jpg,28.96,0.8198,95.08,9.09
29961.jpg,30.43,0.8572,97.41,7.67
29967.jpg,25.01,0.7157,75.09,14.32
29981.jpg,24.92,0.6511,77.03,14.48
29986.jpg,27.03,0.7615,85.34,11.35
2999.jpg,29.19,0.7956,92.38,8.85
3001.jpg,23.99,0.6438,77.8,16.12
3008.jpg,27.11,0.7085,85.19,11.25
3014.jpg,25.19,0.6685,81.32,14.03
3017.jpg,27.88,0.7941,91.17,10.29
3032.jpg,26.45,0.7409,83.39,12.14
3039.jpg,26.47,0.6841,85.77,12.11
3040.jpg,22.81,0.6203,70.89,18.46
3048.jpg,29.92,0.8026,93.56,8.14
3049.jpg,26.29,0.7412,83.19,12.36
305.jpg,29.42,0.8319,93.46,8.62
3054.jpg,22.17,0.6285,73.64,19.86
3060.jpg,29.7,0.8334,94.7,8.35
3064.jpg,27.75,0.7486,89.82,10.44
3071.jpg,30.9,0.8924,97.59,7.27
3077.jpg,28.98,0.8372,93.25,9.07
308.jpg,31.07,0.7692,97.62,7.13
3083.jpg,26.89,0.7607,88.14,11.54
3087.jpg,27.62,0.7458,86.78,10.61
3088.jpg,26.84,0.7843,87.0,11.61
3097.jpg,30.2,0.7879,94.44,7.88
3104.jpg,24.87,0.6512,72.75,14.56
3105.jpg,25.39,0.6923,78.6,13.71
3108.jpg,27.05,0.7685,87.13,11.32
3109.jpg,27.66,0.7067,86.82,10.55
3122.jpg,29.01,0.7769,90.77,9.03
3132.jpg,28.63,0.7987,92.03,9.45
3133.jpg,27.66,0.7461,87.05,10.56
3145.jpg,26.87,0.7088,85.4,11.56
315.jpg,27.3,0.7169,85.24,11.0
3151.jpg,28.13,0.8408,91.71,10.0
3154.jpg,25.95,0.736,85.22,12.85
3172.jpg,22.94,0.5826,68.93,18.19
3182.jpg,25.33,0.6627,82.62,13.8
3183.jpg,28.77,0.8127,90.76,9.3
3185.jpg,24.27,0.6663,75.66,15.6
3187.jpg,26.94,0.7371,85.03,11.47
3209.jpg,28.06,0.7912,91.05,10.08
3213.jpg,25.08,0.6993,82.04,14.21
3223.jpg,27.66,0.7785,90.63,10.56
323.jpg,27.85,0.7361,90.07,10.33
3232.jpg,27.65,0.8388,92.67,10.57
3240.jpg,24.73,0.6767,82.23,14.8
3241.jpg,27.61,0.719,87.49,10.62
3244.jpg,25.99,0.6092,79.67,12.8
3246.jpg,28.91,0.7659,91.95,9.14
3247.jpg,26.39,0.6861,82.64,12.22
3250.jpg,26.11,0.796,86.77,12.61
3259.jpg,28.59,0.7466,92.41,9.48
3262.jpg,26.24,0.7093,85.82,12.43
3266.jpg,25.18,0.6599,79.95,14.04
3267.jpg,27.5,0.7421,86.17,10.75
327.jpg,27.28,0.7481,86.38,11.02
3270.jpg,26.48,0.8134,87.3,12.1
3272.jpg,27.84,0.7642,88.52,10.34
3276.jpg,26.16,0.7435,83.42,12.54
3280.jpg,25.36,0.8494,88.66,13.75
3284.jpg,24.61,0.6506,74.31,14.99
3295.jpg,26.91,0.743,85.42,11.51
3299.jpg,27.78,0.8148,88.9,10.41
33.jpg,27.68,0.8028,90.69,10.54
3303.jpg,27.6,0.7651,90.81,10.62
3306.jpg,26.2,0.7078,82.75,12.49
3309.jpg,25.91,0.6803,81.37,12.92
3310.jpg,24.04,0.5972,79.02,16.02
3315.jpg,28.72,0.7768,91.95,9.34
3326.jpg,27.78,0.7868,91.11,10.41
3327.jpg,26.91,0.8011,91.08,11.51
335.jpg,24.89,0.7632,83.78,14.52
3355.jpg,24.34,0.7308,79.13,15.48
3361.jpg,29.47,0.799,94.02,8.57
3365.jpg,23.88,0.676,77.51,16.32
3367.jpg,24.75,0.5994,74.01,14.75
337.jpg,29.76,0.8411,94.88,8.29
3382.jpg,27.88,0.6823,86.8,10.29
3385.jpg,28.66,0.7779,90.87,9.41
3389.jpg,21.12,0.6899,68.9,22.41
3396.jpg,27.81,0.7151,89.13,10.38
3397.jpg,25.93,0.7214,80.09,12.88
340.jpg,29.92,0.8247,95.45,8.14
3401.jpg,25.82,0.7674,86.29,13.05
3403.jpg,26.94,0.719,84.6,11.47
3407.jpg,26.87,0.7156,86.98,11.56
3412.jpg,28.38,0.8017,90.34,9.72
3415.jpg,25.62,0.7315,87.59,13.35
3426.jpg,27.19,0.738,88.89,11.14
3433.jpg,24.72,0.6755,77.97,14.8
3438.jpg,26.66,0.6855,88.19,11.85
3440.jpg,24.39,0.562,75.44,15.38
3442.jpg,26.7,0.7582,87.0,11.79
3445.jpg,25.66,0.6682,82.09,13.3
3453.jpg,29.91,0.7866,94.18,8.14
3459.jpg,27.51,0.8431,91.05,10.75
346.jpg,24.82,0.6784,74.91,14.64
3464.jpg,25.33,0.7209,82.27,13.81
3479.jpg,25.35,0.747,87.16,13.78
3480.jpg,25.65,0.7684,81.85,13.31
3486.jpg,32.79,0.8544,99.56,5.85
3489.jpg,26.83,0.7552,89.03,11.61
3490.jpg,25.68,0.6756,79.62,13.27
3506.jpg,27.86,0.7532,90.29,10.31
3510.jpg,26.03,0.7427,84.03,12.73
3512.jpg,26.86,0.7379,88.99,11.58
3519.jpg,23.75,0.6989,83.04,16.56
3534.jpg,27.65,0.7387,87.86,10.57
355.jpg,30.22,0.7909,95.18,7.87
3558.jpg,25.33,0.7742,84.46,13.81
356.jpg,30.49,0.8115,95.58,7.62
3561.jpg,30.64,0.7909,95.8,7.49
3563.jpg,29.2,0.849,93.62,8.84
3571.jpg,27.03,0.79,88.07,11.36
3573.jpg,27.52,0.8266,91.5,10.73
3578.jpg,29.44,0.7908,93.92,8.6
3588.jpg,26.87,0.7309,87.08,11.56
3594.jpg,28.32,0.7664,88.79,9.79
3601.jpg,27.26,0.7413,85.33,11.05
361.jpg,29.12,0.8072,93.68,8.93
3621.jpg,25.81,0.6872,80.5,13.06
3627.jpg,30.13,0.7767,94.64,7.95
3634.jpg,27.77,0.7659,88.67,10.42
3659.jpg,25.03,0.7218,86.67,14.29
366.jpg,23.21,0.5815,74.7,17.62
3664.jpg,23.7,0.6376,75.66,16.65
3667.jpg,24.96,0.7261,79.57,14.4
3668.jpg,27.46,0.7276,85.96,10.81
3675.jpg,30.04,0.8014,94.23,8.02
3677.jpg,25.3,0.6546,77.22,13.85
3680.jpg,26.1,0.7519,87.84,12.63
3683.jpg,26.69,0.7521,91.22,11.8
3686.jpg,28.06,0.7407,91.69,10.08
369.jpg,27.83,0.7359,87.85,10.35
3690.jpg,27.83,0.6907,86.65,10.35
3696.jpg,28.79,0.7871,91.39,9.27
